DATE,Measure,Value
19250501,TMIN,67
19250501,TMAX,200
19250501,TOBS,128
19250502,TMIN,6
19250502,TMAX,178
19250502,TOBS,167
19250503,TMIN,50
19250503,TMAX,217
19250503,TOBS,189
19250504,TMIN,50
19250504,TMAX,189
19250504,TOBS,117
19250505,TMIN,22
19250505,TMAX,156
19250505,TOBS,144
19250506,TMIN,33
19250506,TMAX,133
19250506,TOBS,128
19250507,TMIN,0
19250507,TMAX,178
19250507,TOBS,117
19250508,TMIN,0
19250508,TMAX,211
19250508,TOBS,189
19250509,TMIN,100
19250509,TMAX,200
19250509,TOBS,172
19250510,TMIN,144
19250510,TMAX,200
19250510,TOBS,178
19250511,TMIN,100
19250511,TMAX,178
19250511,TOBS,144
19250512,TMIN,22
19250512,TMAX,222
19250512,TOBS,144
19250513,TMIN,33
19250513,TMAX,222
19250513,TOBS,206
19250514,TMIN,61
19250514,TMAX,233
19250514,TOBS,206
19250515,TMIN,61
19250515,TMAX,244
19250515,TOBS,172
19250516,TMIN,89
19250516,TMAX,300
19250516,TOBS,217
19250517,TMIN,83
19250517,TMAX,244
19250517,TOBS,106
19250518,TMIN,33
19250518,TMAX,189
19250518,TOBS,161
19250519,TMIN,28
19250519,TMAX,250
19250519,TOBS,178
19250520,TMIN,44
19250520,TMAX,233
19250520,TOBS,217
19250521,TMIN,106
19250521,TMAX,306
19250521,TOBS,239
19250522,TMIN,117
19250522,TMAX,328
19250522,TOBS,306
19250523,TMIN,144
19250523,TMAX,328
19250523,TOBS,300
19250524,TMIN,156
19250524,TMAX,300
19250524,TOBS,222
19250525,TMIN,-17
19250525,TMAX,228
19250525,TOBS,117
19250526,TMIN,0
19250526,TMAX,161
19250526,TOBS,156
19250527,TMIN,0
19250527,TMAX,211
19250527,TOBS,189
19250528,TMIN,50
19250528,TMAX,261
19250528,TOBS,244
19250529,TMIN,117
19250529,TMAX,261
19250529,TOBS,233
19250530,TMIN,89
19250530,TMAX,294
19250530,TOBS,244
19250531,TMIN,NA
19250531,TMAX,NA
19250531,TOBS,211
19250601,TMIN,106
19250601,TMAX,339
19250601,TOBS,294
19250602,TMIN,144
19250602,TMAX,333
19250602,TOBS,283
19250603,TMIN,150
19250603,TMAX,339
19250603,TOBS,317
19250604,TMIN,161
19250604,TMAX,361
19250604,TOBS,328
19250605,TMIN,161
19250605,TMAX,361
19250605,TOBS,294
19250606,TMIN,167
19250606,TMAX,339
